Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward
1,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
2,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
3,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
4,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
5,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
6,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
7,-1000.0,-245.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-892.1428571428571
8,-1000.0,-670.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-952.8571428571429
9,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
10,-1000.0,-392.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-913.1428571428571
11,-1000.0,-236.0,-1000.0,-294.0,-1000.0,-1000.0,-1000.0,-790.0
12,-920.0,-174.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-870.5714285714286
13,-1000.0,-388.0,-1000.0,-763.0,-1000.0,-1000.0,-1000.0,-878.7142857142857
14,-203.0,-106.0,-1000.0,-252.0,-1000.0,-1000.0,-1000.0,-651.5714285714286
15,-188.0,-182.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-767.1428571428571
16,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
17,-1000.0,-1000.0,-1000.0,-253.0,-1000.0,-1000.0,-1000.0,-893.2857142857143
18,-1000.0,-190.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-884.2857142857143
19,-239.0,-175.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-773.4285714285714
20,-1000.0,-179.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-882.7142857142857
21,-1000.0,-295.0,-1000.0,-173.0,-1000.0,-1000.0,-1000.0,-781.1428571428571
22,-1000.0,-187.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-883.8571428571429
23,-547.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-935.2857142857143
24,-1000.0,-821.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-974.4285714285714
25,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
26,-281.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-897.2857142857143
27,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
28,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
29,-1000.0,-236.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-890.8571428571429
30,-941.0,-161.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-871.7142857142857
31,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
32,-175.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-882.1428571428571
33,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
34,-1000.0,-300.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-900.0
35,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
36,-900.0,-160.0,-1000.0,-210.0,-1000.0,-1000.0,-1000.0,-752.8571428571429
37,-1000.0,-145.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-877.8571428571429
38,-1000.0,-146.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-878.0
39,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
40,-1000.0,-142.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-877.4285714285714
41,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
42,-1000.0,-439.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-919.8571428571429
43,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
44,-1000.0,-97.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-871.0
45,-1000.0,-162.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-880.2857142857143
46,-1000.0,-142.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-877.4285714285714
47,-1000.0,-671.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-953.0
48,-1000.0,-325.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-903.5714285714286
49,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
50,-1000.0,-146.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-878.0
51,-1000.0,-430.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-918.5714285714286
52,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
53,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
54,-1000.0,-243.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-891.8571428571429
