Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward
1,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
2,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
3,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
4,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
5,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
6,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
7,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
8,-1000.0,-883.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-983.2857142857143
9,-1000.0,-151.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-878.7142857142857
10,-1000.0,-166.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-880.8571428571429
11,-1000.0,-103.0,-1000.0,-1000.0,-1000.0,-179.0,-1000.0,-754.5714285714286
12,-1000.0,-178.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-882.5714285714286
13,-1000.0,-96.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-870.8571428571429
14,-1000.0,-239.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-891.2857142857143
15,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
16,-1000.0,-160.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-880.0
17,-1000.0,-135.0,-1000.0,-1000.0,-1000.0,-742.0,-1000.0,-839.5714285714286
18,-1000.0,-254.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-893.4285714285714
19,-576.0,-459.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-862.1428571428571
20,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
21,-1000.0,-526.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-932.2857142857143
22,-1000.0,-1000.0,-1000.0,-286.0,-1000.0,-1000.0,-1000.0,-898.0
23,-195.0,-102.0,-1000.0,-963.0,-1000.0,-1000.0,-1000.0,-751.4285714285714
24,-173.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-881.8571428571429
25,-292.0,-163.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-779.2857142857143
26,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
27,-1000.0,-1000.0,-1000.0,-793.0,-1000.0,-328.0,-1000.0,-874.4285714285714
28,-1000.0,-913.0,-1000.0,-358.0,-1000.0,-1000.0,-1000.0,-895.8571428571429
29,-1000.0,-1000.0,-1000.0,-154.0,-1000.0,-1000.0,-1000.0,-879.1428571428571
30,-195.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-885.0
31,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
32,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-926.0,-989.4285714285714
33,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
34,-1000.0,-159.0,-1000.0,-258.0,-1000.0,-1000.0,-1000.0,-773.8571428571429
35,-1000.0,-497.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-928.1428571428571
36,-1000.0,-89.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-869.8571428571429
37,-1000.0,-169.0,-1000.0,-186.0,-1000.0,-1000.0,-1000.0,-765.0
38,-1000.0,-384.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-912.0
39,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
40,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-919.0,-988.4285714285714
41,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
42,-1000.0,-201.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-885.8571428571429
43,-1000.0,-161.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-880.1428571428571
44,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
45,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
46,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
47,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
48,-156.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-879.4285714285714
49,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
50,-1000.0,-1000.0,-1000.0,-149.0,-1000.0,-1000.0,-1000.0,-878.4285714285714
51,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-236.0,-1000.0,-890.8571428571429
52,-1000.0,-179.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-882.7142857142857
53,-187.0,-1000.0,-1000.0,-238.0,-1000.0,-1000.0,-1000.0,-775.0
54,-159.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-879.8571428571429
